sample number,sample code,strain,substrate,wet weight,dry weight,strain abbr,substrate abbr,,strain substrate
36,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7.1,3.3,P. ostreatus,Wood Pellet + CaSO4 + Flax,,P. ostreatusWood Pellet + CaSO4 + Flax
37,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,6.1,2.8,P. ostreatus,Wood Pellet + CaSO4 + Flax,,P. ostreatusWood Pellet + CaSO4 + Flax
38,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,6.6,3.1,P. ostreatus,Wood Pellet + CaSO4 + Flax,,P. ostreatusWood Pellet + CaSO4 + Flax
39,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7.4,3.4,P. ostreatus,Wood Pellet + CaSO4 + Flax,,P. ostreatusWood Pellet + CaSO4 + Flax
40,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7.1,3.4,P. ostreatus,Wood Pellet + CaSO4 + Flax,,P. ostreatusWood Pellet + CaSO4 + Flax
1,GL_w,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,3.8,1.9,G. lucidum,Wood Pellet + CaSO4 + Wheat, | ,G. lucidum | Wood Pellet + CaSO4 + Wheat
2,GL_w,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,5.1,2.4,G. lucidum,Wood Pellet + CaSO4 + Wheat, | ,G. lucidum | Wood Pellet + CaSO4 + Wheat
3,GL_w,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,4.3,2.1,G. lucidum,Wood Pellet + CaSO4 + Wheat, | ,G. lucidum | Wood Pellet + CaSO4 + Wheat
4,GL_w,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,4.7,2.3,G. lucidum,Wood Pellet + CaSO4 + Wheat, | ,G. lucidum | Wood Pellet + CaSO4 + Wheat
5,GL_w,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,3,1.5,G. lucidum,Wood Pellet + CaSO4 + Wheat, | ,G. lucidum | Wood Pellet + CaSO4 + Wheat
6,GL_w,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,5.1,2.4,G. lucidum,Wood Pellet + CaSO4 + Wheat, | ,G. lucidum | Wood Pellet + CaSO4 + Wheat
7,GL_w,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,5.6,2.7,G. lucidum,Wood Pellet + CaSO4 + Wheat, | ,G. lucidum | Wood Pellet + CaSO4 + Wheat
8,GL_w,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,4.6,2.2,G. lucidum,Wood Pellet + CaSO4 + Wheat, | ,G. lucidum | Wood Pellet + CaSO4 + Wheat
9,GL_w,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,4.7,2.2,G. lucidum,Wood Pellet + CaSO4 + Wheat, | ,G. lucidum | Wood Pellet + CaSO4 + Wheat
10,GL_w,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,3.9,1.9,G. lucidum,Wood Pellet + CaSO4 + Wheat, | ,G. lucidum | Wood Pellet + CaSO4 + Wheat
11,GL_w,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,4.1,2,G. lucidum,Wood Pellet + CaSO4 + Wheat, | ,G. lucidum | Wood Pellet + CaSO4 + Wheat
12,GL_w,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,4.4,2.1,G. lucidum,Wood Pellet + CaSO4 + Wheat, | ,G. lucidum | Wood Pellet + CaSO4 + Wheat
13,GL_w,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,4.6,2.2,G. lucidum,Wood Pellet + CaSO4 + Wheat, | ,G. lucidum | Wood Pellet + CaSO4 + Wheat
14,GL_w,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,3.4,1.6,G. lucidum,Wood Pellet + CaSO4 + Wheat, | ,G. lucidum | Wood Pellet + CaSO4 + Wheat
15,GL_w,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,4.7,2.2,G. lucidum,Wood Pellet + CaSO4 + Wheat, | ,G. lucidum | Wood Pellet + CaSO4 + Wheat
16,GL_w,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,3.9,1.9,G. lucidum,Wood Pellet + CaSO4 + Wheat, | ,G. lucidum | Wood Pellet + CaSO4 + Wheat
17,GL_w,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,3.1,1.5,G. lucidum,Wood Pellet + CaSO4 + Wheat, | ,G. lucidum | Wood Pellet + CaSO4 + Wheat
18,GL_w,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,5.3,2.5,G. lucidum,Wood Pellet + CaSO4 + Wheat, | ,G. lucidum | Wood Pellet + CaSO4 + Wheat
19,GL_w,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,4.9,2.4,G. lucidum,Wood Pellet + CaSO4 + Wheat, | ,G. lucidum | Wood Pellet + CaSO4 + Wheat
1,GL_w_2,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,6.6,6.3,G. lucidum,Wood Pellet + CaSO4 + Wheat, | ,G. lucidum | Wood Pellet + CaSO4 + Wheat
2,GL_w_2,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,6.5,6.1,G. lucidum,Wood Pellet + CaSO4 + Wheat, | ,G. lucidum | Wood Pellet + CaSO4 + Wheat
3,GL_w_2,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,6.7,6.1,G. lucidum,Wood Pellet + CaSO4 + Wheat, | ,G. lucidum | Wood Pellet + CaSO4 + Wheat
4,GL_w_2,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,6.5,6.1,G. lucidum,Wood Pellet + CaSO4 + Wheat, | ,G. lucidum | Wood Pellet + CaSO4 + Wheat
5,GL_w_2,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,6.4,6.2,G. lucidum,Wood Pellet + CaSO4 + Wheat, | ,G. lucidum | Wood Pellet + CaSO4 + Wheat
6,GL_w_2,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,6.1,6,G. lucidum,Wood Pellet + CaSO4 + Wheat, | ,G. lucidum | Wood Pellet + CaSO4 + Wheat
7,GL_w_2,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,6,5.5,G. lucidum,Wood Pellet + CaSO4 + Wheat, | ,G. lucidum | Wood Pellet + CaSO4 + Wheat
8,GL_w_2,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,6.8,6.6,G. lucidum,Wood Pellet + CaSO4 + Wheat, | ,G. lucidum | Wood Pellet + CaSO4 + Wheat
9,GL_w_2,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,6.1,6,G. lucidum,Wood Pellet + CaSO4 + Wheat, | ,G. lucidum | Wood Pellet + CaSO4 + Wheat
10,GL_w_2,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,6.2,6.1,G. lucidum,Wood Pellet + CaSO4 + Wheat, | ,G. lucidum | Wood Pellet + CaSO4 + Wheat
11,GL_w_2,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,6.2,5.9,G. lucidum,Wood Pellet + CaSO4 + Wheat, | ,G. lucidum | Wood Pellet + CaSO4 + Wheat
12,GL_w_2,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,7.1,6.7,G. lucidum,Wood Pellet + CaSO4 + Wheat, | ,G. lucidum | Wood Pellet + CaSO4 + Wheat
13,GL_w_2,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,6,5.7,G. lucidum,Wood Pellet + CaSO4 + Wheat, | ,G. lucidum | Wood Pellet + CaSO4 + Wheat
14,GL_w_2,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,5.7,5.6,G. lucidum,Wood Pellet + CaSO4 + Wheat, | ,G. lucidum | Wood Pellet + CaSO4 + Wheat
15,GL_w_2,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,6.5,6,G. lucidum,Wood Pellet + CaSO4 + Wheat, | ,G. lucidum | Wood Pellet + CaSO4 + Wheat
16,GL_w_2,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,7.4,6.8,G. lucidum,Wood Pellet + CaSO4 + Wheat, | ,G. lucidum | Wood Pellet + CaSO4 + Wheat
17,GL_w_2,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,5.7,5.6,G. lucidum,Wood Pellet + CaSO4 + Wheat, | ,G. lucidum | Wood Pellet + CaSO4 + Wheat
18,GL_w_2,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,6,5.7,G. lucidum,Wood Pellet + CaSO4 + Wheat, | ,G. lucidum | Wood Pellet + CaSO4 + Wheat
19,GL_w_2,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,6.2,5.8,G. lucidum,Wood Pellet + CaSO4 + Wheat, | ,G. lucidum | Wood Pellet + CaSO4 + Wheat
20,GL_w_2,Ganoderma lucidum,hardwood pellets wheat calcium sulfate,6.3,5.9,G. lucidum,Wood Pellet + CaSO4 + Wheat, | ,G. lucidum | Wood Pellet + CaSO4 + Wheat
1,E_w,Ganoderma spp.,hardwood pellets wheat calcium sulfate,4.3,2,Ganoderma spp.,Wood Pellet + CaSO4 + Wheat, | ,Ganoderma spp. | Wood Pellet + CaSO4 + Wheat
2,E_w,Ganoderma spp.,hardwood pellets wheat calcium sulfate,3.7,1.8,Ganoderma spp.,Wood Pellet + CaSO4 + Wheat, | ,Ganoderma spp. | Wood Pellet + CaSO4 + Wheat
3,E_w,Ganoderma spp.,hardwood pellets wheat calcium sulfate,5.4,2.5,Ganoderma spp.,Wood Pellet + CaSO4 + Wheat, | ,Ganoderma spp. | Wood Pellet + CaSO4 + Wheat
4,E_w,Ganoderma spp.,hardwood pellets wheat calcium sulfate,4.9,2.3,Ganoderma spp.,Wood Pellet + CaSO4 + Wheat, | ,Ganoderma spp. | Wood Pellet + CaSO4 + Wheat
5,E_w,Ganoderma spp.,hardwood pellets wheat calcium sulfate,5.8,2.6,Ganoderma spp.,Wood Pellet + CaSO4 + Wheat, | ,Ganoderma spp. | Wood Pellet + CaSO4 + Wheat
6,E_w,Ganoderma spp.,hardwood pellets wheat calcium sulfate,2.9,1.4,Ganoderma spp.,Wood Pellet + CaSO4 + Wheat, | ,Ganoderma spp. | Wood Pellet + CaSO4 + Wheat
7,E_w,Ganoderma spp.,hardwood pellets wheat calcium sulfate,6.2,2.8,Ganoderma spp.,Wood Pellet + CaSO4 + Wheat, | ,Ganoderma spp. | Wood Pellet + CaSO4 + Wheat
8,E_w,Ganoderma spp.,hardwood pellets wheat calcium sulfate,5.6,2.5,Ganoderma spp.,Wood Pellet + CaSO4 + Wheat, | ,Ganoderma spp. | Wood Pellet + CaSO4 + Wheat
9,E_w,Ganoderma spp.,hardwood pellets wheat calcium sulfate,4.9,2.2,Ganoderma spp.,Wood Pellet + CaSO4 + Wheat, | ,Ganoderma spp. | Wood Pellet + CaSO4 + Wheat
10,E_w,Ganoderma spp.,hardwood pellets wheat calcium sulfate,6.2,2.8,Ganoderma spp.,Wood Pellet + CaSO4 + Wheat, | ,Ganoderma spp. | Wood Pellet + CaSO4 + Wheat
11,E_w,Ganoderma spp.,hardwood pellets wheat calcium sulfate,4.5,2.1,Ganoderma spp.,Wood Pellet + CaSO4 + Wheat, | ,Ganoderma spp. | Wood Pellet + CaSO4 + Wheat
12,E_w,Ganoderma spp.,hardwood pellets wheat calcium sulfate,6.7,3,Ganoderma spp.,Wood Pellet + CaSO4 + Wheat, | ,Ganoderma spp. | Wood Pellet + CaSO4 + Wheat
13,E_w,Ganoderma spp.,hardwood pellets wheat calcium sulfate,6.5,3,Ganoderma spp.,Wood Pellet + CaSO4 + Wheat, | ,Ganoderma spp. | Wood Pellet + CaSO4 + Wheat
14,E_w,Ganoderma spp.,hardwood pellets wheat calcium sulfate,6.8,3.1,Ganoderma spp.,Wood Pellet + CaSO4 + Wheat, | ,Ganoderma spp. | Wood Pellet + CaSO4 + Wheat
15,E_w,Ganoderma spp.,hardwood pellets wheat calcium sulfate,6.6,2.9,Ganoderma spp.,Wood Pellet + CaSO4 + Wheat, | ,Ganoderma spp. | Wood Pellet + CaSO4 + Wheat
16,E_w,Ganoderma spp.,hardwood pellets wheat calcium sulfate,6.5,2.9,Ganoderma spp.,Wood Pellet + CaSO4 + Wheat, | ,Ganoderma spp. | Wood Pellet + CaSO4 + Wheat
17,E_w,Ganoderma spp.,hardwood pellets wheat calcium sulfate,6.7,3,Ganoderma spp.,Wood Pellet + CaSO4 + Wheat, | ,Ganoderma spp. | Wood Pellet + CaSO4 + Wheat
18,E_w,Ganoderma spp.,hardwood pellets wheat calcium sulfate,5.6,2.5,Ganoderma spp.,Wood Pellet + CaSO4 + Wheat, | ,Ganoderma spp. | Wood Pellet + CaSO4 + Wheat
19,E_w,Ganoderma spp.,hardwood pellets wheat calcium sulfate,6.7,3,Ganoderma spp.,Wood Pellet + CaSO4 + Wheat, | ,Ganoderma spp. | Wood Pellet + CaSO4 + Wheat
20,E_w,Ganoderma spp.,hardwood pellets wheat calcium sulfate,5.3,2.4,Ganoderma spp.,Wood Pellet + CaSO4 + Wheat, | ,Ganoderma spp. | Wood Pellet + CaSO4 + Wheat
21,E_w,Ganoderma spp.,hardwood pellets wheat calcium sulfate,5.2,2.4,Ganoderma spp.,Wood Pellet + CaSO4 + Wheat, | ,Ganoderma spp. | Wood Pellet + CaSO4 + Wheat
1,E_w_2,Ganoderma spp.,hardwood pellets wheat calcium sulfate,6.6,6.4,Ganoderma spp.,Wood Pellet + CaSO4 + Wheat, | ,Ganoderma spp. | Wood Pellet + CaSO4 + Wheat
2,E_w_2,Ganoderma spp.,hardwood pellets wheat calcium sulfate,6.8,6.5,Ganoderma spp.,Wood Pellet + CaSO4 + Wheat, | ,Ganoderma spp. | Wood Pellet + CaSO4 + Wheat
3,E_w_2,Ganoderma spp.,hardwood pellets wheat calcium sulfate,6.2,5.9,Ganoderma spp.,Wood Pellet + CaSO4 + Wheat, | ,Ganoderma spp. | Wood Pellet + CaSO4 + Wheat
4,E_w_2,Ganoderma spp.,hardwood pellets wheat calcium sulfate,7.2,6.9,Ganoderma spp.,Wood Pellet + CaSO4 + Wheat, | ,Ganoderma spp. | Wood Pellet + CaSO4 + Wheat
5,E_w_2,Ganoderma spp.,hardwood pellets wheat calcium sulfate,6.9,6.6,Ganoderma spp.,Wood Pellet + CaSO4 + Wheat, | ,Ganoderma spp. | Wood Pellet + CaSO4 + Wheat
6,E_w_2,Ganoderma spp.,hardwood pellets wheat calcium sulfate,6.4,6.2,Ganoderma spp.,Wood Pellet + CaSO4 + Wheat, | ,Ganoderma spp. | Wood Pellet + CaSO4 + Wheat
7,E_w_2,Ganoderma spp.,hardwood pellets wheat calcium sulfate,7.4,7.1,Ganoderma spp.,Wood Pellet + CaSO4 + Wheat, | ,Ganoderma spp. | Wood Pellet + CaSO4 + Wheat
8,E_w_2,Ganoderma spp.,hardwood pellets wheat calcium sulfate,6.6,6.4,Ganoderma spp.,Wood Pellet + CaSO4 + Wheat, | ,Ganoderma spp. | Wood Pellet + CaSO4 + Wheat
9,E_w_2,Ganoderma spp.,hardwood pellets wheat calcium sulfate,6.6,6.2,Ganoderma spp.,Wood Pellet + CaSO4 + Wheat, | ,Ganoderma spp. | Wood Pellet + CaSO4 + Wheat
10,E_w_2,Ganoderma spp.,hardwood pellets wheat calcium sulfate,7.5,7.2,Ganoderma spp.,Wood Pellet + CaSO4 + Wheat, | ,Ganoderma spp. | Wood Pellet + CaSO4 + Wheat
11,E_w_2,Ganoderma spp.,hardwood pellets wheat calcium sulfate,6.8,6.5,Ganoderma spp.,Wood Pellet + CaSO4 + Wheat, | ,Ganoderma spp. | Wood Pellet + CaSO4 + Wheat
1,O_w,Pleurotus ostreatus,hardwood pellets wheat calcium sulfate,5.8,2.5,P. ostreatus,Wood Pellet + CaSO4 + Wheat,,P. ostreatusWood Pellet + CaSO4 + Wheat
2,O_w,Pleurotus ostreatus,hardwood pellets wheat calcium sulfate,6.6,3.1,P. ostreatus,Wood Pellet + CaSO4 + Wheat,,P. ostreatusWood Pellet + CaSO4 + Wheat
3,O_w,Pleurotus ostreatus,hardwood pellets wheat calcium sulfate,6.2,2.8,P. ostreatus,Wood Pellet + CaSO4 + Wheat,,P. ostreatusWood Pellet + CaSO4 + Wheat
4,O_w,Pleurotus ostreatus,hardwood pellets wheat calcium sulfate,5.9,2.7,P. ostreatus,Wood Pellet + CaSO4 + Wheat,,P. ostreatusWood Pellet + CaSO4 + Wheat
5,O_w,Pleurotus ostreatus,hardwood pellets wheat calcium sulfate,5.5,2.6,P. ostreatus,Wood Pellet + CaSO4 + Wheat,,P. ostreatusWood Pellet + CaSO4 + Wheat
6,O_w,Pleurotus ostreatus,hardwood pellets wheat calcium sulfate,6.1,2.7,P. ostreatus,Wood Pellet + CaSO4 + Wheat,,P. ostreatusWood Pellet + CaSO4 + Wheat
7,O_w,Pleurotus ostreatus,hardwood pellets wheat calcium sulfate,7.1,3.2,P. ostreatus,Wood Pellet + CaSO4 + Wheat,,P. ostreatusWood Pellet + CaSO4 + Wheat
8,O_w,Pleurotus ostreatus,hardwood pellets wheat calcium sulfate,6,2.7,P. ostreatus,Wood Pellet + CaSO4 + Wheat,,P. ostreatusWood Pellet + CaSO4 + Wheat
9,O_w,Pleurotus ostreatus,hardwood pellets wheat calcium sulfate,6.1,2.8,P. ostreatus,Wood Pellet + CaSO4 + Wheat,,P. ostreatusWood Pellet + CaSO4 + Wheat
10,O_w,Pleurotus ostreatus,hardwood pellets wheat calcium sulfate,5.6,2.7,P. ostreatus,Wood Pellet + CaSO4 + Wheat,,P. ostreatusWood Pellet + CaSO4 + Wheat
11,O_w,Pleurotus ostreatus,hardwood pellets wheat calcium sulfate,5.5,2.4,P. ostreatus,Wood Pellet + CaSO4 + Wheat,,P. ostreatusWood Pellet + CaSO4 + Wheat
12,O_w,Pleurotus ostreatus,hardwood pellets wheat calcium sulfate,3.7,1.7,P. ostreatus,Wood Pellet + CaSO4 + Wheat,,P. ostreatusWood Pellet + CaSO4 + Wheat
13,O_w,Pleurotus ostreatus,hardwood pellets wheat calcium sulfate,6.8,3,P. ostreatus,Wood Pellet + CaSO4 + Wheat,,P. ostreatusWood Pellet + CaSO4 + Wheat
14,O_w,Pleurotus ostreatus,hardwood pellets wheat calcium sulfate,5.8,2.7,P. ostreatus,Wood Pellet + CaSO4 + Wheat,,P. ostreatusWood Pellet + CaSO4 + Wheat
15,O_w,Pleurotus ostreatus,hardwood pellets wheat calcium sulfate,5.6,2.6,P. ostreatus,Wood Pellet + CaSO4 + Wheat,,P. ostreatusWood Pellet + CaSO4 + Wheat
16,O_w,Pleurotus ostreatus,hardwood pellets wheat calcium sulfate,4.8,2.1,P. ostreatus,Wood Pellet + CaSO4 + Wheat,,P. ostreatusWood Pellet + CaSO4 + Wheat
17,O_w,Pleurotus ostreatus,hardwood pellets wheat calcium sulfate,5.5,2.4,P. ostreatus,Wood Pellet + CaSO4 + Wheat,,P. ostreatusWood Pellet + CaSO4 + Wheat
18,O_w,Pleurotus ostreatus,hardwood pellets wheat calcium sulfate,7.3,3.3,P. ostreatus,Wood Pellet + CaSO4 + Wheat,,P. ostreatusWood Pellet + CaSO4 + Wheat
19,O_w,Pleurotus ostreatus,hardwood pellets wheat calcium sulfate,3.7,1.7,P. ostreatus,Wood Pellet + CaSO4 + Wheat,,P. ostreatusWood Pellet + CaSO4 + Wheat
20,O_w,Pleurotus ostreatus,hardwood pellets wheat calcium sulfate,3.2,1.5,P. ostreatus,Wood Pellet + CaSO4 + Wheat,,P. ostreatusWood Pellet + CaSO4 + Wheat
21,O_w,Pleurotus ostreatus,hardwood pellets wheat calcium sulfate,4.9,1.8,P. ostreatus,Wood Pellet + CaSO4 + Wheat,,P. ostreatusWood Pellet + CaSO4 + Wheat
22,O_w,Pleurotus ostreatus,hardwood pellets wheat calcium sulfate,5.1,2.3,P. ostreatus,Wood Pellet + CaSO4 + Wheat,,P. ostreatusWood Pellet + CaSO4 + Wheat
23,O_w,Pleurotus ostreatus,hardwood pellets wheat calcium sulfate,5.3,2.5,P. ostreatus,Wood Pellet + CaSO4 + Wheat,,P. ostreatusWood Pellet + CaSO4 + Wheat
24,O_w,Pleurotus ostreatus,hardwood pellets wheat calcium sulfate,6.9,3.2,P. ostreatus,Wood Pellet + CaSO4 + Wheat,,P. ostreatusWood Pellet + CaSO4 + Wheat
25,O_w,Pleurotus ostreatus,hardwood pellets wheat calcium sulfate,6,2.8,P. ostreatus,Wood Pellet + CaSO4 + Wheat,,P. ostreatusWood Pellet + CaSO4 + Wheat
1,O_w_2,Pleurotus ostreatus,hardwood pellets wheat calcium sulfate,5.6,5.5,P. ostreatus,Wood Pellet + CaSO4 + Wheat,,P. ostreatusWood Pellet + CaSO4 + Wheat
2,O_w_2,Pleurotus ostreatus,hardwood pellets wheat calcium sulfate,5.6,5.4,P. ostreatus,Wood Pellet + CaSO4 + Wheat,,P. ostreatusWood Pellet + CaSO4 + Wheat
3,O_w_2,Pleurotus ostreatus,hardwood pellets wheat calcium sulfate,6.2,6,P. ostreatus,Wood Pellet + CaSO4 + Wheat,,P. ostreatusWood Pellet + CaSO4 + Wheat
4,O_w_2,Pleurotus ostreatus,hardwood pellets wheat calcium sulfate,6.2,6,P. ostreatus,Wood Pellet + CaSO4 + Wheat,,P. ostreatusWood Pellet + CaSO4 + Wheat
5,O_w_2,Pleurotus ostreatus,hardwood pellets wheat calcium sulfate,5.7,5.6,P. ostreatus,Wood Pellet + CaSO4 + Wheat,,P. ostreatusWood Pellet + CaSO4 + Wheat
6,O_w_2,Pleurotus ostreatus,hardwood pellets wheat calcium sulfate,6.6,6.5,P. ostreatus,Wood Pellet + CaSO4 + Wheat,,P. ostreatusWood Pellet + CaSO4 + Wheat
7,O_w_2,Pleurotus ostreatus,hardwood pellets wheat calcium sulfate,6.6,6.5,P. ostreatus,Wood Pellet + CaSO4 + Wheat,,P. ostreatusWood Pellet + CaSO4 + Wheat
8,O_w_2,Pleurotus ostreatus,hardwood pellets wheat calcium sulfate,5.6,5.4,P. ostreatus,Wood Pellet + CaSO4 + Wheat,,P. ostreatusWood Pellet + CaSO4 + Wheat
9,O_w_2,Pleurotus ostreatus,hardwood pellets wheat calcium sulfate,5.1,4.9,P. ostreatus,Wood Pellet + CaSO4 + Wheat,,P. ostreatusWood Pellet + CaSO4 + Wheat
10,O_w_2,Pleurotus ostreatus,hardwood pellets wheat calcium sulfate,6.1,5.9,P. ostreatus,Wood Pellet + CaSO4 + Wheat,,P. ostreatusWood Pellet + CaSO4 + Wheat
11,O_w_2,Pleurotus ostreatus,hardwood pellets wheat calcium sulfate,4.8,4.7,P. ostreatus,Wood Pellet + CaSO4 + Wheat,,P. ostreatusWood Pellet + CaSO4 + Wheat
12,O_w_2,Pleurotus ostreatus,hardwood pellets wheat calcium sulfate,5.5,5.4,P. ostreatus,Wood Pellet + CaSO4 + Wheat,,P. ostreatusWood Pellet + CaSO4 + Wheat
1,G,Ganoderma spp.,kenaf,5.56,1.13,Ganoderma spp.,Kenaf,,Ganoderma spp.Kenaf
